region_id,region_label,profile,mean,q05,q95,p_talarico
2550013,"County 255, VTD 0013 (rural)",rural,0.12935526082461313,0.0945115879797551,0.17013648474801873,0
2550014,"County 255, VTD 0014 (hispanic)",hispanic,0.4803829438037992,0.39718009054217457,0.5642812657075669,0.35152
2550015,"County 255, VTD 0015 (hispanic)",hispanic,0.3466165490373196,0.27319666585055896,0.4250032999942804,7.7e-4
2570001,"County 257, VTD 0001 (urban)",urban,0.38915051934317135,0.30795677063173704,0.47446860477282776,0.01654
2570002,"County 257, VTD 0002 (rural)",rural,0.2538539653136115,0.19297377076417074,0.32155353506799034,0
2570003,"County 257, VTD 0003 (suburbs)",suburbs,0.44870700094575533,0.3615926022339243,0.537878105718573,0.17149
2570004,"County 257, VTD 0004 (suburbs)",suburbs,0.31912662507157386,0.24725178286905933,0.39693797728070174,2.1e-4
2570005,"County 257, VTD 0005 (urban)",urban,0.7083974918889541,0.6328512852817525,0.7772522234435322,0.99995
2570006,"County 257, VTD 0006 (rural)",rural,0.25209525059488574,0.19101919839979611,0.32012920200591843,0
2570007,"County 257, VTD 0007 (suburbs)",suburbs,0.5388788776048339,0.45142390004208566,0.6248314408636804,0.769
2570008,"County 257, VTD 0008 (urban)",urban,0.4513451173454255,0.3648455857038548,0.5397674071337374,0.18123
2570009,"County 257, VTD 0009 (rural)",rural,0.29050860646966903,0.22364067291433862,0.36371597746040724,1e-5
2570010,"County 257, VTD 0010 (rural)",rural,0.20645006452455492,0.15453002907832897,0.2653389665173111,0
2570011,"County 257, VTD 0011 (urban)",urban,0.40049479782660485,0.31690913005271026,0.4879502296946637,0.03157
2570012,"County 257, VTD 0012 (rural)",rural,0.20119946556580412,0.15022005585376347,0.2591675830205088,0
2570013,"County 257, VTD 0013 (urban)",urban,0.5525706120867196,0.4632796606917054,0.639745698611931,0.83419
2570014,"County 257, VTD 0014 (urban)",urban,0.5993080655954907,0.5121278916421582,0.6826529262437416,0.96986000000000006
2570015,"County 257, VTD 0015 (rural)",rural,0.22111175257761229,0.16612970278158865,0.2831196305059618,0
2570016,"County 257, VTD 0016 (rural)",rural,0.20641570041325194,0.1543326427344972,0.26551724255606224,0
2570017,"County 257, VTD 0017 (rural)",rural,0.23902035802582658,0.18071458082251135,0.3042753501335037,0
2570018,"County 257, VTD 0018 (rural)",rural,0.31846694628689975,0.24685075497250192,0.3960035954576635,1.5e-4
2570019,"County 257, VTD 0019 (urban)",urban,0.41464326763387027,0.3298375683853151,0.5028062125140236,0.05579
2570020,"County 257, VTD 0020 (rural)",rural,0.3007669327676639,0.2324469539646318,0.37522877315587744,1e-5
2570021,"County 257, VTD 0021 (rural)",rural,0.23974945915946438,0.18121804459389887,0.3052482462655292,0
2570022,"County 257, VTD 0022 (rural)",rural,0.2332111684634509,0.1759889752258707,0.29740976510907113,0
2570023,"County 257, VTD 0023 (rural)",rural,0.33152702742894186,0.2593123811452933,0.4091740826820973,2.1e-4
2570024,"County 257, VTD 0024 (rural)",rural,0.3692673969671013,0.2922914666230825,0.4507306115729586,0.0047
2570025,"County 257, VTD 0025 (urban)",urban,0.43306387453667244,0.3474168845326941,0.5213406923055984,0.10469
2570026,"County 257, VTD 0026 (hispanic)",hispanic,0.7129580900152812,0.6399568756106245,0.7795190103012559,1
2570027,"County 257, VTD 0027 (suburbs)",suburbs,0.44935888489970877,0.36326736471309296,0.5374297914258477,0.17028
2570028,"County 257, VTD 0028 (rural)",rural,0.2998562703936025,0.23154574554013585,0.374349284263139,2e-5
2570029,"County 257, VTD 0029 (urban)",urban,0.6718379027448715,0.5902700066432234,0.7472858744440102,0.99963
2570030,"County 257, VTD 0030 (rural)",rural,0.28400925641891267,0.21779016511835259,0.3567452301084881,0
2570031,"County 257, VTD 0031 (suburbs)",suburbs,0.5108310732204733,0.4223529438197707,0.5988744603896006,0.57985
2570032,"County 257, VTD 0032 (suburbs)",suburbs,0.43001916019080105,0.34555884573589074,0.5171598646859004,0.09314
2570033,"County 257, VTD 0033 (urban)",urban,0.5629630762865995,0.4742631856606367,0.6491668637213516,0.87951
2570034,"County 257, VTD 0034 (suburbs)",suburbs,0.44871302639032323,0.36352490196213133,0.5358624826668549,0.16551
2570035,"County 257, VTD 0035 (urban)",urban,0.6093393040134061,0.5224690374264628,0.6919979630764531,0.97949
2570036,"County 257, VTD 0036 (suburbs)",suburbs,0.46740929288758176,0.38316318119189685,0.5528552407330529,0.26483
2570037,"County 257, VTD 0037 (urban)",urban,0.6261010100418416,0.5409622844657231,0.706531450968149,0.99161
2591010,"County 259, VTD 1010 (urban)",urban,0.34612723273385176,0.27238119063062605,0.4249067015490105,8.5e-4
2591030,"County 259, VTD 1030 (suburbs)",suburbs,0.2433048920752926,0.18396205928129788,0.30963546595315045,0
2591050,"County 259, VTD 1050 (suburbs)",suburbs,0.30752939805132934,0.23730593791802265,0.3839324406008082,6e-5
2591110,"County 259, VTD 1110 (suburbs)",suburbs,0.29012303146407425,0.22301917945048202,0.36363088253846226,0
2592020,"County 259, VTD 2020 (suburbs)",suburbs,0.22783194519192307,0.17114632855712944,0.2916400295035965,0
2592060,"County 259, VTD 2060 (suburbs)",suburbs,0.30279731301294277,0.23382351364950776,0.3779393373743873,4e-5
2592080,"County 259, VTD 2080 (suburbs)",suburbs,0.2659943027644556,0.20298903629951928,0.33570229650961875,0
2592120,"County 259, VTD 2120 (suburbs)",suburbs,0.2643450837939081,0.2016777534772771,0.33372079838780466,0
2593010,"County 259, VTD 3010 (suburbs)",suburbs,0.3183503076112005,0.24644545989381195,0.3962307256550464,1.6e-4
2593030,"County 259, VTD 3030 (rural)",rural,0.2429490421578586,0.1844512165611608,0.30824187548806425,0
2593040,"County 259, VTD 3040 (rural)",rural,0.25901760435138077,0.19771773935738152,0.3269767703509563,0
2593050,"County 259, VTD 3050 (suburbs)",suburbs,0.2980626273267196,0.23016257249376085,0.3721500042763522,1e-5
2593060,"County 259, VTD 3060 (suburbs)",suburbs,0.25865845393423914,0.19643733295819332,0.327772423188903,0
2594050,"County 259, VTD 4050 (rural)",rural,0.30089388255534294,0.2332288103142548,0.3745708047179806,2e-5
2594070,"County 259, VTD 4070 (rural)",rural,0.2505072615360975,0.1905863781880496,0.317187084173422,0
